codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"254","TOWER","TOWER","Y","","","","40.81223889N","021.60272778E","0","M","853","0","135","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"255","WINDTURBINE","WINDTURBINE","Y","","","","41.29975833N","023.37341111E","0","M","797","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"256","WINDTURBINE","WINDTURBINE","Y","","","","41.29817222N","023.37508611E","0","M","780","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"257","WINDTURBINE","WINDTURBINE","Y","","","","38.16863333N","023.61520000E","0","M","1027","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"258","WINDTURBINE","WINDTURBINE","Y","","","","38.16949722N","023.61794722E","0","M","1014","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"259","WINDTURBINE","WINDTURBINE","Y","","","","38.17070556N","023.62048611E","0","M","1035","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"260","WINDTURBINE","WINDTURBINE","Y","","","","38.17091389N","023.62337222E","0","M","1068","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"261","WINDTURBINE","WINDTURBINE","Y","","","","38.17185833N","023.62600556E","0","M","1076","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"262","WINDTURBINE","WINDTURBINE","Y","","","","36.95506667N","022.85872500E","0","M","892","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"263","WINDTURBINE","WINDTURBINE","N","","","","36.94973333N","022.86179167E","0","M","959","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"264","WINDTURBINE","WINDTURBINE","Y","","","","36.94824167N","022.86365000E","0","M","961","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"265","WINDTURBINE","WINDTURBINE","N","","","","36.94703889N","022.86570556E","0","M","960","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"266","WINDTURBINE","WINDTURBINE","N","","","","36.94584167N","022.86776944E","0","M","960","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"267","WINDTURBINE","WINDTURBINE","N","","","","36.94442500N","022.86968611E","0","M","931","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"268","WINDTURBINE","WINDTURBINE","Y","","","","36.94320278N","022.87173889E","0","M","899","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"269","WINDTURBINE","WINDTURBINE","Y","","","","41.09348889N","025.90493056E","0","M","941","0","100","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
